#line	motif	seq	start	end	strand	seqLen	querybp	mRatio	m	mm	i	d
2461	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	10544	12175	+	15239	1770	89.2%	1587	34	10	149
2465	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	12236	12550	+	15239	324	96.3%	312	2	0	10
2469	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	12627	13227	+	15239	650	90.0%	587	11	2	52
2473	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	13313	13765	+	15239	504	86.7%	438	13	1	53
2477	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	13838	14213	+	15239	418	86.7%	365	7	3	46
2481	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	14347	14520	+	15239	186	89.8%	168	4	1	14
2485	telomere	24c70fd6-e117-460f-bd4f-2c0f5ee2339f	14613	15238	+	15239	668	92.1%	616	8	1	44
2489	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	17892	19001	-	29759	1153	95.5%	1103	4	2	46
2493	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	16440	16517	+	29759	77	97.4%	75	2	0	0
2497	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	16620	16689	+	29759	71	91.5%	65	4	0	2
2501	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	16989	17048	+	29759	60	98.3%	59	0	0	1
2505	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	17105	17147	+	29759	42	92.9%	39	3	0	0
2509	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	17230	17287	+	29759	59	94.9%	56	1	0	2
2513	telomere	5a7b1540-1f78-4234-a198-6c154f4280a1	17661	17704	+	29759	45	95.6%	43	0	0	2
2517	telomere	1f1012eb-c910-430a-8089-3ef351364712	0	654	-	8762	650	98.2%	645	2	7	3
2521	telomere	f6fda0f6-d9c2-4bff-a478-6fe73d62aea1	7090	7495	+	7495	426	90.9%	390	12	3	24
2525	telomere	032f49e7-092d-4d57-8791-59714629d90c	0	43	-	13438	47	91.5%	43	0	0	4
2529	telomere	032f49e7-092d-4d57-8791-59714629d90c	73	13438	-	13438	13756	96.0%	13255	56	54	445
2533	telomere	945d197f-3c40-406c-9c04-73437577d93c	0	778	-	16373	776	98.1%	769	1	8	6
2537	telomere	f445ab7f-7790-469b-bb9b-a5a15bb52091	0	5908	-	26627	5903	99.3%	5883	2	23	18
2541	telomere	c004290f-bd39-415a-bd5f-bd9af98d136d	28673	28743	+	28743	70	97.1%	68	2	0	0
2545	telomere	d8374015-8906-4186-ab8e-ef284faf8cec	0	1097	-	19700	1091	98.9%	1088	0	9	3
2549	telomere	ce8ce86a-236e-4344-8a4a-ec6d22851c55	0	700	-	16319	692	96.7%	684	1	15	7
2553	telomere	0f76b3fe-f51b-4f38-a284-2eb296828429	0	926	-	15651	921	99.5%	921	0	5	0
2557	telomere	dd480e86-f53a-41ec-a7c5-ad0c014dbc93	16357	16471	+	16471	118	93.2%	110	4	0	4
2561	telomere	93efeda2-d110-4a78-844d-e75cd7276460	5846	6258	+	6258	432	89.9%	392	16	4	24
2565	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	0	1356	+	12479	1417	92.3%	1320	23	13	74
2569	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	1521	1729	+	12479	228	89.9%	205	3	0	20
2573	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	1831	5568	+	12479	3955	91.2%	3640	59	38	256
2577	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	5730	6194	+	12479	481	93.4%	452	9	3	20
2581	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	6328	6441	+	12479	117	94.0%	110	3	0	4
2585	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	6522	6701	+	12479	178	97.2%	176	0	3	2
2589	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	6787	7597	+	12479	838	91.0%	779	13	18	46
2593	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	7699	8519	+	12479	868	89.9%	793	13	14	62
2597	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	8602	9824	+	12479	1303	86.3%	1146	51	25	106
2601	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	9908	10644	+	12479	774	88.5%	702	15	19	57
2605	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	10707	10893	+	12479	188	94.2%	180	3	3	5
2609	telomere	f08feb72-5ec4-4a25-a2d0-52a69acb93cf	10975	12346	+	12479	1432	90.4%	1314	35	22	83
2613	telomere	70917b85-43b7-45c9-a2cf-b33569d146fe	19673	19755	+	19755	86	94.2%	81	1	0	4
2617	telomere	20a03383-7178-4dd2-aeb2-f93e2f5f5c6e	6349	6997	+	7179	689	91.2%	631	14	3	44
2621	telomere	20a03383-7178-4dd2-aeb2-f93e2f5f5c6e	7056	7179	+	7179	128	92.2%	119	3	1	6
2625	telomere	c76c2f54-adbf-49ea-8785-37e65bd770d4	7	5798	-	5798	5968	95.7%	5737	26	28	205
2629	telomere	240d39d0-23ba-4c7c-8670-54106fb3df9f	0	1107	-	26203	1098	98.6%	1094	1	12	3
2633	telomere	97b0b04b-b964-4be1-b848-299cd0f3d593	19572	19619	+	19639	47	100.0%	47	0	0	0
2637	telomere	f5e8238c-df9d-447c-a777-6e1ae8ccbec7	0	850	-	22486	854	98.7%	846	1	3	7
2641	telomere	8d570130-ad69-4bc7-847c-8c07fc4e028b	23891	24097	+	24097	221	90.5%	200	6	0	15
2645	telomere	515d80a9-a74e-480e-a4c1-022ed878522d	1	582	-	15666	570	97.6%	568	1	12	1
2649	telomere	2241ad2f-554c-4b15-ae07-63ad81bcaece	5	701	-	24000	693	96.9%	683	1	12	9
2653	telomere	d18183ff-410a-4efc-a0a6-9d25cecf595e	1	4016	-	13295	4060	97.6%	3983	10	22	67
2657	telomere	88afd2f4-a460-4e02-9245-70fbc91291b8	17372	17489	+	17489	125	90.4%	113	4	0	8
2661	telomere	5191d4f2-0e32-43a1-b9b3-16ae6e6f3133	0	564	-	25993	566	96.9%	555	2	7	9
2665	telomere	133ab5c0-a508-4fb0-a054-b8db12382071	0	757	-	10295	763	95.4%	739	6	12	18
2669	telomere	df1135b9-7670-4d55-8091-8eb6bf681cc7	1733	1979	+	1979	252	92.5%	235	9	2	8
2673	telomere	984b98c5-ce7b-4488-ad1a-f006912f1136	0	807	-	19474	803	98.4%	798	1	8	4
2677	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	7161	7234	+	15022	76	96.1%	73	0	0	3
2681	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	7256	7302	+	15022	46	100.0%	46	0	0	0
2685	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	7356	7564	+	15022	217	90.0%	199	5	4	13
2689	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	7640	9357	+	15022	1842	88.9%	1657	39	21	146
2693	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	9619	12412	+	15022	3042	88.7%	2712	66	15	264
2697	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	12501	12547	+	15022	46	100.0%	46	0	0	0
2701	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	12728	13880	+	15022	1271	87.6%	1119	27	6	125
2705	telomere	eb7ae67a-349e-41f6-93d0-cc091dac388a	14033	14940	+	15022	971	90.9%	885	19	3	67
2709	telomere	8ec0f25b-2cb3-48e5-b8fa-459e0d6484f8	26725	26934	+	26934	215	93.1%	203	3	3	9
2713	telomere	9cecc35a-d9ab-43a2-839f-83044e99e4ce	0	743	-	10805	770	95.0%	734	6	3	30
2717	telomere	5e8442ab-a3f9-4386-a6f5-8aecaaba2337	16162	16236	+	16236	76	94.7%	72	2	0	2
2721	telomere	7d8894c0-1dea-4302-9fe6-0a3f9bd2b73e	1	1457	-	7453	1457	98.2%	1443	0	13	14
2725	telomere	50a53717-2f73-40ee-9db7-32428eb96ccb	7074	7281	+	7281	221	90.1%	201	4	2	16
2729	telomere	7ed44c98-c35b-4335-9fe8-ffa5ffe837ab	6922	7176	+	7176	268	91.8%	247	6	1	15
2733	telomere	f9102848-df91-4767-9820-0f4489f5a5cb	0	1021	-	9535	1019	99.6%	1018	0	3	1
2737	telomere	e1b07513-f558-4661-84b6-65e50c837a41	1	1295	-	5523	1289	98.4%	1281	0	13	8
2741	telomere	973c752d-02df-446a-ad8c-5fd246492dc0	2	878	-	21946	876	99.5%	874	0	2	2
2745	telomere	76a8ea51-e7d1-48c7-8900-6b3f718a2a9b	0	1777	-	25782	1785	98.5%	1767	2	8	16
2749	telomere	732d27cc-8dd2-491a-8177-8e1c1de79a74	5	1042	-	14522	1034	99.7%	1034	0	3	0
2753	telomere	87bb668e-bd8f-4f9c-aa26-cd9c4040b865	0	7496	-	7496	7538	99.2%	7487	0	9	51
2757	telomere	ba4a4aa0-b979-4c15-83fd-836b922e185a	7183	7271	+	7288	88	98.9%	87	1	0	0
2761	telomere	4b5a9778-ec65-45ef-9154-d7a7f862abfb	17	863	-	23848	858	94.5%	826	4	16	28
2765	telomere	515cfab9-f934-4900-b635-6ae0a6242041	0	570	-	20695	576	95.2%	556	6	8	14
2769	telomere	7fe2786a-d36e-4b5c-9b4e-82632e4e42b1	0	380	-	15120	390	93.9%	372	2	6	16
2773	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	21000	23093	+	29848	2245	90.1%	2036	42	15	167
2777	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	23229	25919	+	29848	2902	89.7%	2621	49	20	232
2781	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	26007	26643	+	29848	678	89.1%	611	17	8	50
2785	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	26803	27479	+	29848	742	88.2%	656	18	2	68
2789	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	27694	28376	+	29848	726	89.8%	658	17	7	51
2793	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	28485	28973	+	29848	514	90.9%	472	11	5	31
2797	telomere	80d6bf8f-74ea-4fb7-a3e6-95f4a11de5b0	29063	29842	+	29848	822	89.3%	745	22	12	55
2801	telomere	dcdf469f-d9b0-4896-9c8d-86296e0a42ee	17200	17241	+	17273	41	100.0%	41	0	0	0
2805	telomere	89498443-9fda-4134-a96d-ecdb37638c12	4	1206	-	5415	1226	96.9%	1194	2	6	30
2809	telomere	eb0ccdfe-b8b6-48c8-8bbd-8c3383b9e913	0	1009	-	12514	1021	98.0%	1004	1	4	16
2813	telomere	fe642fab-35d4-447e-8e00-4d9c8c544455	0	1242	-	31950	1252	97.5%	1231	1	10	20
2817	telomere	1d070102-4ab2-47a4-af91-c2f15eb08ecb	0	1163	-	17531	1182	95.5%	1143	5	15	34
2821	telomere	b964493c-934d-4aaa-887b-71e3bf2b609e	6425	6473	+	6475	48	97.9%	47	1	0	0
2825	telomere	2468cd4f-3512-4f8e-9f59-3bf2e2453c9a	15	533	-	7645	533	91.8%	501	4	13	28
2829	telomere	39eb7825-c9dc-48f8-92c0-0c4ebc15c1d9	3	1179	-	6858	1177	99.7%	1175	0	1	2
2833	telomere	9cbc2d1f-8b82-45c0-b3db-1eeea2feff0e	3	21849	-	28709	22314	95.9%	21580	89	177	645
2837	telomere	9cbc2d1f-8b82-45c0-b3db-1eeea2feff0e	21989	22190	-	28709	220	89.6%	198	2	1	20
2841	telomere	9cbc2d1f-8b82-45c0-b3db-1eeea2feff0e	22323	22414	-	28709	98	89.9%	89	1	1	8
2845	telomere	d78c092d-8a27-4465-a039-eac8c1a1a73c	0	699	-	7968	721	91.6%	675	8	16	38
2849	telomere	1ebbfe29-5f58-4ea2-9ab3-8ca1cbbe26f5	0	886	-	9293	888	97.3%	873	4	9	11
2853	telomere	c902f629-e4c7-45e6-b0c5-6233437f63fb	0	732	-	8298	727	98.0%	721	2	9	4
2857	telomere	b629b895-2c92-4634-b9ce-da9aebad6dd1	2	749	-	7918	743	98.8%	740	1	6	2
2861	telomere	15a2119e-c826-452d-8262-20b58d319243	7489	7786	+	7786	296	92.6%	277	17	3	2
2865	telomere	6d0412c4-0fd5-4082-bc7b-15a1f5be6e32	0	764	-	5820	762	95.9%	744	6	14	12
2869	telomere	f75da05b-9c02-4ee5-8532-54d9b63a3d5f	0	515	-	25230	510	97.7%	506	1	8	3
2873	telomere	10c90b18-279d-4279-a213-0e4491949e0f	0	968	-	25661	981	98.3%	966	0	2	15
2877	telomere	9acbc967-761a-4567-ba65-e9dd9179f6d4	0	1140	-	16449	1143	97.7%	1127	2	11	14
2881	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2788	3296	-	5298	539	92.4%	499	8	1	32
2885	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2179	2251	+	5298	72	98.6%	71	1	0	0
2889	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2268	2316	+	5298	48	97.9%	47	1	0	0
2893	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2379	2436	+	5298	57	94.7%	54	3	0	0
2897	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2467	2637	+	5298	167	95.3%	162	5	3	0
2901	telomere	88bff93b-22eb-468c-bfc3-06992f5d2e25	2717	2769	+	5298	52	92.3%	48	4	0	0
2905	telomere	e280ca12-e47a-4da2-8d6d-650bc38cfee4	1	6172	-	6524	6450	91.8%	6014	59	98	377
2909	telomere	58ff906b-cb71-4b5a-ac62-f98a84c52949	0	536	-	25630	534	98.0%	529	1	6	4
2913	telomere	aa9850c2-b60a-4940-b5c2-7cdba814df54	1	994	-	22290	1002	97.9%	987	0	6	15
2917	telomere	d4b5566d-a280-40d3-b3ea-bb4aeac1feb5	0	732	-	15395	731	93.2%	700	12	20	19
2921	telomere	ff045b2f-4778-4dc8-bd15-60f592486b48	97	5858	-	5875	5918	94.4%	5647	51	63	220
2925	telomere	c0f558c4-b563-497a-852b-4fa198bc3664	3	852	-	9891	871	95.2%	836	6	7	29
2929	telomere	9d83ad04-dbde-49c4-a865-b9bf5cbfd3e1	0	738	-	19612	739	98.8%	733	2	3	4
2933	telomere	64449077-aadd-4547-9c68-828eb22db49a	4550	4609	+	4621	59	100.0%	59	0	0	0
2937	telomere	f04ee3d8-576f-4d3d-96fe-2364b44ee47b	0	1175	-	14830	1200	97.3%	1171	1	3	28
2941	telomere	b3cfdf5a-8cb2-44b7-81dd-df1d7336f09f	24114	24179	+	24179	66	98.5%	65	0	0	1
2945	telomere	735dae5f-d3b7-4f46-82ea-3472b3845db8	0	497	-	13743	494	96.8%	486	3	8	5
2949	telomere	e5afd47f-4658-4495-96e0-c5552bc7d907	0	18761	-	21176	18970	96.1%	18443	93	225	434
2953	telomere	e734b067-7d43-43b7-8caf-d88bea9ad106	0	15599	-	15599	15885	96.5%	15441	47	111	397
2957	telomere	90136533-b373-4269-8689-f79314daf9c1	0	1206	-	20815	1223	96.8%	1191	7	8	25
2961	telomere	c9686d95-eaf2-4703-81f6-3c9e923f9f16	30109	30224	+	30236	119	94.2%	113	1	1	5
2965	telomere	d6389454-9809-4c8c-b85c-2ae87a835cea	0	673	-	10058	666	97.8%	662	0	11	4
2969	telomere	890cb5e7-4d62-477e-84b8-c279ff746245	21388	21442	+	21452	54	96.3%	52	2	0	0
2973	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	14311	15053	-	28562	763	96.5%	739	0	3	24
2977	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	13581	13668	+	28562	89	97.8%	87	0	0	2
2981	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	14198	14263	+	28562	65	95.5%	63	1	1	1
2985	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	14269	14311	+	28562	45	93.3%	42	0	0	3
2989	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	13808	13852	+	28562	44	95.5%	42	2	0	0
2993	telomere	68142d47-e91e-4ad6-a909-c96f9059465f	13870	13941	+	28562	71	93.0%	66	5	0	0
2997	telomere	d7a5e347-6d12-4207-9c81-8aaa2eae160b	7721	7761	+	7762	40	100.0%	40	0	0	0
3001	telomere	984f250a-374e-4a8a-ac4d-0173633be8c3	0	1011	-	22020	1008	98.0%	999	1	11	8
3005	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	24369	25112	+	26106	792	91.4%	727	13	3	52
3009	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	25234	25682	+	26106	486	90.1%	439	8	1	39
3013	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	25700	25760	+	26106	60	100.0%	60	0	0	0
3017	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	25776	25820	+	26106	44	100.0%	44	0	0	0
3021	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	25855	25903	+	26106	51	94.1%	48	0	0	3
3025	telomere	33eed2de-cb4f-4f90-ac15-a018ff63c18e	25933	26106	+	26106	184	91.8%	169	4	0	11
3029	telomere	09db2a9d-186d-406d-ab6e-bc536fb48943	0	1514	-	15562	1527	98.0%	1505	1	8	21
3033	telomere	a73d2ee7-4489-4194-b511-2969a0ab6558	1	1255	-	26657	1254	98.3%	1243	1	10	10
3037	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	14675	15728	-	28629	1100	94.5%	1042	8	3	50
3041	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13091	13165	+	28629	77	91.0%	71	2	1	4
3045	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13201	13373	+	28629	178	90.0%	162	8	2	8
3049	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13483	13567	+	28629	84	95.2%	80	4	0	0
3053	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13646	13686	+	28629	41	92.7%	38	2	0	1
3057	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13744	13890	+	28629	150	94.0%	141	5	0	4
3061	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13942	13989	+	28629	47	93.6%	44	3	0	0
3065	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	13996	14062	+	28629	66	97.0%	64	2	0	0
3069	telomere	0939bcfa-5b6e-4846-b004-0e86fae8c053	14198	14267	+	28629	69	92.8%	64	5	0	0
3073	telomere	b01143cd-f7e5-4955-b036-9d9b0b09a6e3	23467	23555	+	23571	88	98.9%	87	1	0	0
3077	telomere	c6be2463-af7d-46ad-b250-bd0de72f80b6	13174	13606	+	13606	426	93.4%	410	9	13	7
3081	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	8544	9629	+	14541	1171	90.0%	1059	20	6	92
3085	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	9758	9985	+	14541	234	95.7%	225	1	1	8
3089	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	10112	10748	+	14541	666	92.4%	621	9	6	36
3093	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	10832	11000	+	14541	180	92.2%	166	2	0	12
3097	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	11088	11359	+	14541	284	92.7%	265	4	2	15
3101	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	11421	13510	+	14541	2241	90.4%	2039	35	15	167
3105	telomere	25dbd815-a822-49a4-9535-d6c8a40e13db	13637	14538	+	14541	951	92.4%	883	13	5	55
3109	telomere	4344aa0e-4d99-4470-b746-8d0817956ced	14989	15058	+	15058	68	98.6%	68	0	1	0
3113	telomere	b1c3e778-8175-4ddd-a71b-358db45d7d4d	0	1262	-	5800	1292	97.1%	1257	2	3	33
3117	telomere	9ff4eae7-5475-42ed-8f04-5479c72421f7	12624	13726	+	16350	1183	89.2%	1062	33	7	88
3121	telomere	9ff4eae7-5475-42ed-8f04-5479c72421f7	13813	15991	+	16350	2340	88.5%	2091	65	22	184
3125	telomere	9ff4eae7-5475-42ed-8f04-5479c72421f7	16068	16350	+	16350	291	93.9%	275	5	2	11
3129	telomere	ff23ed57-8496-4d3d-ac47-1468b96e22a6	27	1396	-	27109	1375	98.8%	1363	2	4	10
3133	telomere	8b8ef6a3-4eeb-4b92-af91-099483d7c19f	0	890	-	18554	891	97.8%	880	1	9	10
3137	telomere	30bdbedd-9621-4b7a-bfa7-05b17d6d6d7d	0	23284	-	34645	23560	97.3%	23088	25	171	447
3141	telomere	aa2e9ac4-176a-478c-8462-55b1091c7ee1	3	808	-	15431	811	94.0%	777	12	16	22
3145	telomere	152e7322-3e10-4bc3-ad63-decd7b3d47e0	21	9290	-	9290	9517	95.8%	9174	39	56	304
3149	telomere	4e1aa42a-8056-4bd6-a3ca-37ffccc6dfb1	18512	19309	+	19360	851	91.2%	779	15	3	57
3153	telomere	4e1aa42a-8056-4bd6-a3ca-37ffccc6dfb1	19315	19360	+	19360	45	95.6%	43	2	0	0
3157	telomere	8e5004d4-22f5-4d5a-8414-58dd571f2295	0	1178	-	34813	1192	95.9%	1158	5	15	29
3161	telomere	d3fd4c0f-4a56-4631-9917-4548417c9d0c	2	1277	-	15475	1292	97.9%	1270	0	5	22
3165	telomere	de7fbc77-f567-47c7-8c5b-4d41b10e6990	6	813	-	23053	806	98.4%	800	0	7	6
3169	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	0	93	-	23219	94	93.8%	90	1	2	3
3173	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	174	222	-	23219	45	93.8%	45	0	3	0
3177	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	359	1341	-	23219	983	89.6%	918	23	41	42
3181	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	1446	3944	-	23219	2500	92.0%	2377	37	84	86
3185	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	4036	5315	-	23219	1292	92.4%	1230	10	39	52
3189	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	5458	7587	-	23219	2108	92.0%	2025	12	92	71
3193	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	7711	17197	-	23219	9555	90.8%	9000	128	358	427
3197	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	17465	20311	-	23219	2883	89.7%	2686	48	112	149
3201	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	20328	20391	-	23219	60	92.2%	59	0	4	1
3205	telomere	eefcccd1-5fa0-431a-996e-0f36ccee3235	20471	20554	-	23219	78	91.7%	77	0	6	1
3209	telomere	2a24bed2-4e4e-4a7a-928b-849246540145	4	916	-	30426	902	98.4%	899	1	12	2
3213	telomere	3ec1ecc6-8543-4809-bf47-3f76022dc55e	32802	32866	+	32869	64	96.9%	63	0	1	1
3217	telomere	caab90b6-44c9-4465-9b3d-67a4ac532d89	57	15156	-	24453	15319	96.5%	14927	28	144	364
3221	telomere	7210ef1d-7fef-42bf-a59f-5ba33570da03	0	8396	-	12471	8706	94.7%	8287	65	44	354
3225	telomere	7210ef1d-7fef-42bf-a59f-5ba33570da03	8481	12471	-	12471	4143	94.0%	3922	40	28	181
3229	telomere	3d989efc-d049-4363-84d8-085f1ac1442a	1	1007	-	11353	1015	97.6%	997	2	7	16
3233	telomere	dad587bf-359a-4d44-89c7-8317fde47f83	18948	19081	+	19083	143	91.6%	131	2	0	10
3237	telomere	31198df2-1024-44e1-ba13-dd3947668fdc	25007	25096	+	25097	90	94.5%	86	2	1	2
3241	telomere	62b398d3-fa77-4b5b-acc5-e271e9f3b797	7	17716	-	20594	18128	95.3%	17453	79	177	596
3245	telomere	d035ffae-ec22-49e5-9f67-17821230efed	11	886	-	7127	880	98.0%	868	1	6	11
3249	telomere	05320109-684b-4545-8957-55797e68643e	9	1390	-	7696	1382	98.9%	1374	0	7	8
3253	telomere	e57e8885-f965-4c18-a795-f3a66f5d3c46	6871	6929	+	8661	58	96.6%	56	2	0	0
3257	telomere	e57e8885-f965-4c18-a795-f3a66f5d3c46	6945	8486	+	8661	1662	90.7%	1509	30	2	123
3261	telomere	e57e8885-f965-4c18-a795-f3a66f5d3c46	8551	8617	+	8661	66	100.0%	66	0	0	0
3265	telomere	903ee2e7-2093-4030-8d0f-0c649c9b4177	0	1068	-	9120	1070	98.3%	1059	2	7	9
3269	telomere	5abeee55-4dd5-4e68-b2b3-60f3da55e69f	1	1309	-	13291	1343	96.5%	1300	4	4	39
3273	telomere	eb128457-f8b5-4cd2-a266-40a79ae3b8f7	5197	5372	+	5393	179	95.0%	171	3	1	5
3277	telomere	130f9eb8-4c70-4f1e-83eb-b3cd32bef67e	22096	22137	+	22137	41	100.0%	41	0	0	0
3281	telomere	8f2c085f-6f5a-4ff7-81f4-0c735abb203b	0	1157	-	20830	1158	99.6%	1155	0	2	3
3285	telomere	5a1874b4-b411-496f-a721-99a3abc36e04	0	4389	-	4389	4595	89.9%	4199	113	77	283
3289	telomere	eba134bc-e3b0-4126-a6dd-317749cb31a5	21166	21223	+	21223	57	100.0%	57	0	0	0
3293	telomere	d0140d5d-7d79-4a00-b498-b51dc11dec3f	1	569	-	3983	560	96.9%	555	0	13	5
3297	telomere	95ec98d5-48e1-4364-89a8-1908ecbf549c	0	703	-	19361	709	98.0%	699	0	4	10
3301	telomere	2f80b927-ad87-47dd-a3f7-fb63a184c1f7	0	13898	-	26295	14200	96.2%	13739	73	86	388
3305	telomere	2f80b927-ad87-47dd-a3f7-fb63a184c1f7	13991	14444	-	26295	500	82.5%	421	22	10	57
3309	telomere	2f80b927-ad87-47dd-a3f7-fb63a184c1f7	14530	19795	-	26295	5512	92.4%	5138	79	48	295
3313	telomere	2f80b927-ad87-47dd-a3f7-fb63a184c1f7	19895	25462	-	26295	5824	91.9%	5413	90	64	321
3317	telomere	1981dc8b-b93f-461e-9c7e-27f6f142d88b	16550	16628	+	16628	78	96.2%	75	3	0	0
3321	telomere	28516183-7652-4391-b460-629ec35cab21	0	563	-	20949	554	95.3%	544	2	17	8
3325	telomere	bc710f5b-cef8-4eaf-826a-772383454c79	1	1341	-	35529	1343	97.4%	1323	1	16	19
3329	telomere	3556b9a5-81be-47ab-a755-2ef89a1f44ec	9	2658	-	6367	2689	93.4%	2565	26	58	98
3333	telomere	a3210724-40f1-44ab-bed3-64f5bbc182d1	14262	15352	+	15354	1185	89.0%	1060	24	6	101
3337	telomere	23287a51-dc68-41fa-a755-694745b2b153	25816	25857	+	25877	41	100.0%	41	0	0	0
3341	telomere	0e826fbe-44f6-4fbc-bb03-e8e781edf4a6	0	453	-	14148	468	94.5%	446	3	4	19
3345	telomere	0e826fbe-44f6-4fbc-bb03-e8e781edf4a6	544	14148	-	14148	13986	96.1%	13504	37	63	445
3349	telomere	ce458c6f-4278-4165-92e9-9bfcc88c21ae	22518	22606	+	35281	90	91.1%	82	6	0	2
3353	telomere	ce458c6f-4278-4165-92e9-9bfcc88c21ae	23136	23178	+	35281	41	95.2%	40	1	1	0
3357	telomere	ce458c6f-4278-4165-92e9-9bfcc88c21ae	22661	22703	+	35281	42	95.2%	40	2	0	0
3361	telomere	ce458c6f-4278-4165-92e9-9bfcc88c21ae	22716	22756	+	35281	40	95.0%	38	2	0	0
3365	telomere	8d5a6adf-e5e2-418b-af76-1b2ade91accc	0	12152	-	13115	12231	98.5%	12097	5	50	129
3369	telomere	14c37e4f-5175-42ce-a421-f35b86f807ba	60	4402	-	19084	4456	94.1%	4246	42	54	168
3373	telomere	14c37e4f-5175-42ce-a421-f35b86f807ba	4588	5541	-	19084	994	90.3%	912	25	16	57
3377	telomere	14c37e4f-5175-42ce-a421-f35b86f807ba	5716	6479	-	19084	783	92.8%	739	11	13	33
