assembly	chr	start	end	aa_len	transcript_id	interpro_ids	interpro_info	celeg_symbol	celeg_id	celeg_Description	celeg_aa_len	qcovs	pident	evalue	bitscore	celeg_chr
nxOscOnir1.2	IV	13345103	13345447	114	g16541.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	IV	13345501	13351759	1894	g16542.t1	IPR027417, NA	P-loop containing nucleoside triphosphate hydrolase, NA	pif-1	Y18H1A.6b	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	394	7	34.965	5.47e-14	76.3	I
nxOscOnir1.2	IV	13351850	13353939	306	g16543.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	1	1786	474	g2700.t1	IPR025476, NA	Helitron helicase-like domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	1821	2705	294	g2701.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	2746	12563	1055	g2702.t1	IPR036190, IPR035401, IPR038364, IPR035400, IPR035085, NA	Urocanase superfamily, Urocanase C-terminal domain, Urocanase central domain superfamily, Urocanase N-terminal domain, Urocanase Rossmann-like domain, NA	uroc-1	Y51H4A.7	Predicted to enable urocanate hydratase activity. Predicted to be involved in histidine catabolic process. Human ortholog(s) of this gene implicated in urocanase deficiency. Is an ortholog of human UROC1 (urocanate hydratase 1).	670	54	71.858	0	883	IV
nxOscOnir1.2	X	11744517	11745209	187	g5256.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	11746972	11751168	836	g5257.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscOnir1.2	X	11751222	11761451	3103	g5258.t1	IPR010285, IPR025476, IPR027417, IPR038765, NA	DNA helicase Pif1-like, Helitron helicase-like domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, NA	pif-1	Y18H1A.6b	pif-1 encodes a DNA-dependent ATPase and 5'-3' DNA helicase orthologous to Saccharomyces Pif1p and vertebrate PIF1; by homology, PIF-1 is predicted to function in maintenance of both mitochondrial and nuclear genome integrity; PIF-1 is also predicted to function as a negative regulator of telomerase activity that acts by displacing telomerase from the ends of DNA; loss of pif-1 activity via RNAi results in induction of the mitochondrial unfolded protein response.	394	10	34.965	7.33e-14	76.6	I
nxOscSper1.1	I	2034	2714	151	g11684.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	3761	4396	187	g11685.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	8805	9349	158	g11686.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	10342	11916	460	g11687.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	15759	16179	96	g11688.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	16335	17815	182	g11689.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	31286	35482	189	g11690.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	36344	36604	86	g11691.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	87	37.662	3.97e-9	51.6	III
nxOscSper1.1	I	36647	37018	123	g11692.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	85	34.579	4.09e-9	53.1	III
nxOscSper1.1	I	7783885	7785881	591	g14053.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	I	7790506	7792521	412	g14054.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	811	2639	537	g1.t1	IPR000605, IPR027417, NA	Helicase superfamily 3, single-stranded DNA/RNA virus, P-loop containing nucleoside triphosphate hydrolase, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	3219	3830	203	g2.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	4009	5299	393	g3.t1	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	150979	152920	507	g4.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	153281	153625	114	g5.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	153752	154453	233	g6.t1	NA	NA	Y57G11C.20	Y57G11C.20	Expressed in intestine.	649	75	37.931	1.18e-19	87.4	IV
nxOscSper1.1	II	154503	156170	555	g7.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	80	33.186	3.01e-74	242	III
nxOscSper1.1	II	157050	157613	187	g8.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	159361	162103	360	g9.t1	IPR000719, IPR011009, IPR001245, IPR008271, NA	Protein kinase domain, Protein kinase-like domain superfamily, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine-protein kinase active site, NA	svh-2	T14E8.1a	Enables mitogen-activated protein kinase kinase kinase binding activity and transmembrane receptor protein tyrosine kinase activity. Involved in several processes, including axon regeneration; peptidyl-tyrosine autophosphorylation; and positive regulation of axon regeneration. Predicted to be located in plasma membrane. Predicted to be integral component of plasma membrane. Predicted to be part of receptor complex. Expressed in distal tip cell; excretory canal; and muscle cell. Is an ortholog of human TYRO3 (TYRO3 protein tyrosine kinase).	1086	40	31.447	1.56e-11	65.9	X
nxOscSper1.1	II	165824	166366	180	g10.t1	IPR013783, IPR008962, NA	Immunoglobulin-like fold, PapD-like superfamily, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	167438	168685	282	g11.t1	IPR040986, IPR042568	Sulfhydryl oxidase flavin adenine dinucleotide (FAD) binding domain, Sulfhydryl oxidase flavin adenine dinucleotide (FAD) binding domain superfamily	F47B7.2	F47B7.2c	Predicted to enable flavin-linked sulfhydryl oxidase activity and protein disulfide isomerase activity. Predicted to be involved in protein folding. Predicted to be located in extracellular space. Predicted to be integral component of Golgi membrane. Expressed in head. Is an ortholog of human QSOX1 (quiescin sulfhydryl oxidase 1) and QSOX2 (quiescin sulfhydryl oxidase 2).	624	94	46.503	4.56e-81	256	X
nxOscSper1.1	II	168799	169679	98	g12.t1	IPR036774	ERV/ALR sulfhydryl oxidase domain superfamily	F47B7.2	F47B7.2c	Predicted to enable flavin-linked sulfhydryl oxidase activity and protein disulfide isomerase activity. Predicted to be involved in protein folding. Predicted to be located in extracellular space. Predicted to be integral component of Golgi membrane. Expressed in head. Is an ortholog of human QSOX1 (quiescin sulfhydryl oxidase 1) and QSOX2 (quiescin sulfhydryl oxidase 2).	624	71	42.857	2.18e-9	52.8	X
nxOscSper1.1	II	174362	174935	166	g13.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	176801	177028	75	g14.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	II	183268	186152	387	g15.t1	NA	NA	F23C8.3	F23C8.3a	Enriched in muscle cell; neurons; and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including glp-1; daf-12; and hsf-1 based on microarray and RNA-seq studies. Is affected by seven chemicals including Psoralens; allantoin; and metformin based on RNA-seq and microarray studies.	116	24	28.723	2.45e-4	40.4	I
nxOscSper1.1	III	36610	40887	465	g2431.t1	IPR023211, IPR004868, NA	DNA polymerase palm domain superfamily, DNA-directed DNA polymerase family B, mitochondria/virus, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	82	30.579	2.22e-31	128	V
nxOscSper1.1	III	43399	43971	190	g2432.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	44644	45996	450	g2433.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	99	33.333	1.2500000000000001e-77	248	III
nxOscSper1.1	III	47779	48414	211	g2434.t1	IPR027417, NA	P-loop containing nucleoside triphosphate hydrolase, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	7054574	7058333	708	g4595.t1	IPR000719, IPR011009, IPR017441, IPR029021, IPR003595, IPR000242, IPR008271, IPR000387, NA	Protein kinase domain, Protein kinase-like domain superfamily, Protein kinase ATP binding site, Protein-tyrosine phosphatase-like, Protein-tyrosine phosphatase catalytic, PTP type protein phosphatase, Serine/threonine-protein kinase active site, Tyrosine specific protein phosphatases domain, NA	C02B10.6	C02B10.6	Predicted to enable protein tyrosine phosphatase activity. Predicted to be involved in peptidyl-tyrosine dephosphorylation. Is an ortholog of human PTPN20 (protein tyrosine phosphatase non-receptor type 20).	398	39	41.053	1.15e-65	222	IV
nxOscSper1.1	III	7059014	7059355	113	g4596.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	7065203	7065985	260	g4597.t2	IPR041588, IPR001584, IPR036397, IPR012337, NA	Integrase zinc-binding domain, Integrase catalytic core, Ribonuclease H superfamily, Ribonuclease H-like superfamily, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	7067048	7071308	483	g4598.t1	IPR023211, IPR004868, NA	DNA polymerase palm domain superfamily, DNA-directed DNA polymerase family B, mitochondria/virus, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	89	28.523	1.53e-33	135	V
nxOscSper1.1	III	7073814	7074554	246	g4599.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	III	7075059	7076468	469	g4600.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	95	33.556	3.41e-78	249	III
nxOscSper1.1	IV	20581	21724	324	g7144.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	22481	23161	187	g7145.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	23553	23825	90	g7146.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	26743	27376	173	g7147.t1	IPR036236, IPR013087, NA	Zinc finger C2H2 superfamily, Zinc finger C2H2-type, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	29693	29998	101	g7148.t1	IPR029021, IPR000242, NA	Protein-tyrosine phosphatase-like, PTP type protein phosphatase, NA	C17H12.3	C17H12.3	Predicted to enable protein tyrosine phosphatase activity. Predicted to be involved in peptidyl-tyrosine dephosphorylation. Is an ortholog of human PTPN20 (protein tyrosine phosphatase non-receptor type 20).	374	80	45.679	7.74e-19	79.3	IV
nxOscSper1.1	IV	34629	36029	466	g7149.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	95	32.965	1.84e-74	240	III
nxOscSper1.1	IV	36768	37469	233	g7150.t1	NA	NA	Y57G11C.20	Y57G11C.20	Expressed in intestine.	649	75	37.931	1.18e-19	87.4	IV
nxOscSper1.1	IV	37592	37939	115	g7151.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	41049	41871	249	g7152.t1	IPR023211, NA	DNA polymerase palm domain superfamily, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	99	27.49	1.06e-24	102	V
nxOscSper1.1	IV	43859	44681	249	g7153.t1	IPR023211, NA	DNA polymerase palm domain superfamily, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	99	27.49	1.06e-24	102	V
nxOscSper1.1	IV	53286	53726	146	g7154.t1	IPR008962	PapD-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	56284	56805	149	g7155.t1	NA	NA	C05D11.13	C05D11.13b	Enriched in AVK; OLL; PVD; intestine; and sensory neurons based on microarray and RNA-seq studies. Is affected by several genes including daf-2; sir-2.1; and pgl-1 based on RNA-seq and microarray studies. Is affected by rotenone; Alovudine; and Humic Substances based on RNA-seq and microarray studies. Human ZNF821 enables sequence-specific double-stranded DNA binding activity. Is an ortholog of human ZNF821 (zinc finger protein 821).	272	23	54.286	0.006	35.8	III
nxOscSper1.1	IV	61642	62229	169	g7156.t1	IPR029021, IPR003595, IPR000242, IPR000387, NA	Protein-tyrosine phosphatase-like, Protein-tyrosine phosphatase catalytic, PTP type protein phosphatase, Tyrosine specific protein phosphatases domain, NA	C02B10.6	C02B10.6	Predicted to enable protein tyrosine phosphatase activity. Predicted to be involved in peptidyl-tyrosine dephosphorylation. Is an ortholog of human PTPN20 (protein tyrosine phosphatase non-receptor type 20).	398	86	41.216	1.96e-32	119	IV
nxOscSper1.1	IV	65232	65972	246	g7157.t1	IPR041588, IPR001584, IPR036397, IPR012337, NA	Integrase zinc-binding domain, Integrase catalytic core, Ribonuclease H superfamily, Ribonuclease H-like superfamily, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	IV	8350201	8350826	182	g9711.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	432	736	89	g9712.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	1013	1324	90	g9713.t1	NA	NA	C03A3.2	C03A3.2	Predicted to be located in membrane. Predicted to be integral component of membrane. Is an ortholog of human TMEM104 (transmembrane protein 104).	492	96	63.953	3.2e-34	122	X
nxOscSper1.1	V	21024	21842	272	g9714.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	97	35.206	1.4299999999999999e-47	163	III
nxOscSper1.1	V	21882	22800	242	g9715.t1	NA	NA	F54H12.2	F54H12.2	Predicted to enable ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor. Predicted to be involved in deoxyribonucleotide biosynthetic process. Predicted to be located in cytosol.	419	50	30.4	2.16e-11	63.2	III
nxOscSper1.1	V	22850	25590	193	g9716.t1	NA	NA	Y57G11C.20	Y57G11C.20	Expressed in intestine.	649	61	37.607	1.62e-20	88.6	IV
nxOscSper1.1	V	26492	30830	1290	g9717.t1	IPR004868, IPR012337, NA	DNA-directed DNA polymerase family B, mitochondria/virus, Ribonuclease H-like superfamily, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	98	28.342	7.209999999999999e-162	524	V
nxOscSper1.1	V	32557	33082	152	g9718.t1	IPR001810, IPR036047	F-box domain, F-box-like domain superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	V	36085	36396	90	g9719.t1	IPR036168, IPR028565, NA	AP-2 complex subunit mu C-terminal superfamily, Mu homology domain, NA	apm-3	F53H8.1	apm-3 encodes an adaptin, orthologous to the mu3 subunit of adaptor protein complex 3 (AP-3); APM-3 is also orthologous to human HPS, which when mutated leads to Hermansky-Pudlak syndrome (OMIM:203300); based on structural similarity, APM-3 is predicted to be involved in the formation of intracellular transport vesicles, and genetic analyses indicate that apm-3 activity is required for biogenesis of lysosome-related gut granules.	414	96	66.279	6.4e-39	133	X
nxOscSper1.1	V	6993088	6995116	285	g11683.t1	IPR013783, IPR000535, IPR008962, NA	Immunoglobulin-like fold, Major sperm protein (MSP) domain, PapD-like superfamily, NA	C10H11.7	C10H11.7	Predicted to be located in cytoskeleton.	177	21	31.25	4.58e-4	40.4	I
nxOscSper1.1	X	67204	67652	137	g4601.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	84387	85232	281	g4602.t1	IPR021109, IPR001969	Aspartic peptidase domain superfamily, Aspartic peptidase active site	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	86133	86816	227	g4603.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	88479	93689	225	g4604.t1	IPR023211, NA	DNA polymerase palm domain superfamily, NA	C25F9.2	C25F9.2	C25F9.2 is predicted to have 3'-5' exonuclease activity, DNA binding activity, DNA-directed DNA polymerase activity, endonuclease activity, and nucleotide binding activity, based on protein domain information; this C. elegans gene shares domain structure and an insertion found in a platyfish, and the platyfish genome has retroviral integrase, ATPase and cysteine protease nearby, which suggests it derives from a giant DNA transposable element called a maverick or polintron.	1523	55	35.484	6.3e-16	76.3	V
nxOscSper1.1	X	95518	96702	282	g4605.t1	IPR001841, NA	Zinc finger RING-type, NA	zhp-4	Y39B6A.16	Y39B6A.16 encodes a RING finger protein orthologous to budding yeast Cst9p (meiotically expressed) and human RNF212 (associated with varying recombination rate); Y39B6A.16 is required in mass RNAi assays for embryonic viability; Y39B6A.16 is paralogous to ZHP-3, D1081.9, and F55A12.10.	283	56	27.95	1.54e-16	77.8	V
nxOscSper1.1	X	97454	98638	282	g4606.t1	IPR001841, NA	Zinc finger RING-type, NA	zhp-4	Y39B6A.16	Y39B6A.16 encodes a RING finger protein orthologous to budding yeast Cst9p (meiotically expressed) and human RNF212 (associated with varying recombination rate); Y39B6A.16 is required in mass RNAi assays for embryonic viability; Y39B6A.16 is paralogous to ZHP-3, D1081.9, and F55A12.10.	283	56	27.95	1.54e-16	77.8	V
nxOscSper1.1	X	99390	100574	282	g4607.t1	IPR001841, NA	Zinc finger RING-type, NA	zhp-4	Y39B6A.16	Y39B6A.16 encodes a RING finger protein orthologous to budding yeast Cst9p (meiotically expressed) and human RNF212 (associated with varying recombination rate); Y39B6A.16 is required in mass RNAi assays for embryonic viability; Y39B6A.16 is paralogous to ZHP-3, D1081.9, and F55A12.10.	283	56	27.95	1.54e-16	77.8	V
nxOscSper1.1	X	101326	102057	174	g4608.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	102636	105707	685	g4609.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	120659	121540	293	g4610.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	127478	135977	587	g4611.t1	NA	NA	epi-1	K08C7.3b	epi-1 encodes one of two C. elegans laminin alpha chains; epi-1 affects oogenesis due to its affect on gonad development, and also affects cell migrations, axon extension and GABAergic defasciculation, morphology of the VD and DD motor neurons, body morphology, locomotion, gonad sheath epithelialization, body muscle structure, and germ cell proliferation.	3672	78	17.532	0.001	42	IV
nxOscSper1.1	X	2344058	2344554	149	g5159.t1	IPR036397, IPR012337	Ribonuclease H superfamily, Ribonuclease H-like superfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2344894	2345259	121	g5160.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2345172	2345510	112	g5161.t1	IPR021109	Aspartic peptidase domain superfamily	K02F6.1	K02F6.1	Predicted to enable enzyme binding activity; nucleic acid binding activity; and zinc ion binding activity. Predicted to be located in cytoplasm.	783	72	35.294	3.79e-10	55.5	II
nxOscSper1.1	X	2355170	2355990	246	g5162.t1	IPR038717, IPR002492, NA	Tc1-like transposase DDE domain, Transposase Tc1-like, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2356688	2357692	277	g5163.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2363891	2365678	595	g5164.t1	IPR021109, IPR001995, IPR000477, NA	Aspartic peptidase domain superfamily, Peptidase A2A retrovirus, catalytic, Reverse transcriptase domain, NA	K02F6.1	K02F6.1	Predicted to enable enzyme binding activity; nucleic acid binding activity; and zinc ion binding activity. Predicted to be located in cytoplasm.	783	60	21.354	1.05e-15	80.9	II
nxOscSper1.1	X	2365695	2366891	398	g5165.t1	IPR041588, IPR041577, NA	Integrase zinc-binding domain, Reverse transcriptase/retrotransposon-derived protein RNase H-like domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2396473	2397639	304	g5166.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2397792	2398078	82	g5167.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2398157	2398882	189	g5168.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2398961	2400018	269	g5169.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2400171	2401229	272	g5170.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2401382	2402938	312	g5171.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2403017	2408635	1105	g5172.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2408898	2414834	1198	g5173.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2422626	2424098	379	g5174.t2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2424290	2425120	276	g5175.t1	IPR000477, NA	Reverse transcriptase domain, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2425598	2427618	579	g5176.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2427912	2428136	74	g5177.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	2431978	2432743	204	g5178.t1	IPR013785, NA	Aldolase-type TIM barrel, NA	F17A9.4	F17A9.4	Predicted to enable FMN binding activity and oxidoreductase activity.	457	98	52.5	5.5100000000000006e-73	228	V
nxOscSper1.1	X	2432799	2434075	238	g5179.t1	IPR013785, IPR001155, NA	Aldolase-type TIM barrel, NADH:flavin oxidoreductase/NADH oxidase N-terminal, NA	F17A9.4	F17A9.4	Predicted to enable FMN binding activity and oxidoreductase activity.	457	94	58.222	8.91e-92	277	V
nxOscSper1.1	X	9219168	9221164	591	g7142.t1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSper1.1	X	9226546	9239021	2559	g7143.t1	IPR010285, IPR025476, IPR027417, IPR038765, IPR028889, NA	DNA helicase Pif1-like, Helitron helicase-like domain, P-loop containing nucleoside triphosphate hydrolase, Papain-like cysteine peptidase superfamily, Ubiquitin specific protease domain, NA	Y116F11A.1	Y116F11A.1	Predicted to enable ATP binding activity; ATP hydrolysis activity; and DNA helicase activity. Predicted to be involved in DNA duplex unwinding and DNA replication. Predicted to be located in replication fork.	202	3	41.558	1.48e-7	54.3	V
nxOscSpeu1.1	I	2986865	2987418	146	948_t	NA	NA	F20D1.3	F20D1.3	Expressed in anterior gonad arm. Is predicted to encode a protein with the following domain: Kelch-type beta propeller.	463	97	34.211	1.4399999999999997e-23	95.1	X
nxOscSpeu1.1	I	2987533	2987675	34	949_t	NA	NA	F20D1.3	F20D1.3	Expressed in anterior gonad arm. Is predicted to encode a protein with the following domain: Kelch-type beta propeller.	463	100	41.176	0.003	32.3	X
nxOscSpeu1.1	I	2990040	2992480	592	950_t	IPR008010, NA	Tapt1 family, NA	F26F2.7	F26F2.7a	Predicted to be involved in maintenance of protein localization in endoplasmic reticulum and positive regulation of cilium assembly. Predicted to be located in ciliary basal body. Predicted to be integral component of endoplasmic reticulum membrane. Is an ortholog of human TAPT1 (transmembrane anterior posterior transformation 1).	712	98	51.067	0	631	V
nxOscSpeu1.1	I	3010922	3012923	502	951_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	I	9750546	9751256	236	2885_t	IPR041588, IPR001584, IPR036397, IPR012337, NA	Integrase zinc-binding domain, Integrase catalytic core, Ribonuclease H superfamily, Ribonuclease H-like superfamily, NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	133	5565	1608	2886_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	6978	20031	2741	2887_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	7325153	7326333	322	4943_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	7332451	7333593	380	4944_t	IPR029526	PiggyBac transposable element-derived protein	NA	NA	NA	NA	NA	NA	NA	NA	NA
nxOscSpeu1.1	II	7335373	7338372	312	4945_t	IPR000719, IPR011009, NA	Protein kinase domain, Protein kinase-like domain superfamily, NA	ttbk-7	R90.1	Predicted to enable protein serine/threonine kinase activity. Predicted to be involved in peptidyl-serine phosphorylation and signal transduction. Predicted to be located in cytoplasm and nucleus. Expressed in amphid neurons. Human ortholog(s) of this gene implicated in spinocerebellar ataxia type 11. Is an ortholog of human TTBK2 (tau tubulin kinase 2).	776	65	25.909	7.96e-15	75.1	V
nxOscSpeu1.1	II	7340032	7341281	343	4946_t	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
