start	end	width	strand	source	type	score	phase	assembly	Sequence	newgID
142272	143451	1180	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_11882_t
143912	145879	1968	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_11883_t
152916	153321	406	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_11884_t
153541	156182	2642	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_11885_t
157076	158738	1663	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_11886_t
5931178	5938210	7033	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_13749_t
5938322	5938879	558	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_13750_t
5938992	5940531	1540	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_13751_t
5941510	5943158	1649	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_13752_t
5946695	5951893	5199	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_13753_t
8135712	8137666	1955	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_14280_t
8139602	8141863	2262	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_14281_t
10170477	10171048	572	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	V	OspJU_14786_t
6000929	6002781	1853	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7721_t
6003485	6005998	2514	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7722_t
6496535	6505817	9283	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7882_t
6506315	6507069	755	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7883_t
6507572	6508528	957	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7884_t
6508707	6511924	3218	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7885_t
6516550	6520778	4229	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7886_t
6831451	6839639	8189	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7960_t
6901603	6902494	892	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7976_t
6903558	6905241	1684	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7977_t
6905345	6906621	1277	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7978_t
6906699	6908690	1992	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7979_t
6911866	6913205	1340	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_7980_t
7141023	7142355	1333	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_8064_t
7143334	7144252	919	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	III	OspJU_8065_t
203059	211626	8568	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_2942_t
212022	213543	1522	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_2943_t
9652447	9659517	7071	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5622_t
9659865	9661027	1163	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5623_t
9661736	9663718	1983	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5624_t
9663886	9664379	494	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5625_t
10069315	10070469	1155	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5757_t
10070977	10073088	2112	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	II	OspJU_5758_t
683213	683614	402	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9009_t
1001628	1003151	1524	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9081_t
1003547	1005934	2388	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9082_t
4042677	4043335	659	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9945_t
4043556	4044784	1229	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9946_t
4044857	4045984	1128	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9947_t
4046126	4047577	1452	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9948_t
4050701	4053557	2857	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	IV	OspJU_9949_t
123026	128939	5914	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_15046_t
2253618	2255320	1703	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_15586_t
2256472	2258466	1995	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_15587_t
2259035	2260459	1425	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_15588_t
3308240	3311796	3557	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_15842_t
4233077	4233808	732	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_16094_t
4234069	4235667	1599	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_16095_t
9882143	9892117	9975	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_17667_t
9892286	9893706	1421	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_17668_t
11780396	11781352	957	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18153_t
11781380	11782266	887	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18154_t
11782539	11784093	1555	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18155_t
11788140	11790637	2498	+	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18156_t
11793036	11794832	1797	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18157_t
11794968	11796159	1192	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18158_t
11796397	11798399	2003	-	GeneMark.hmm3	mRNA	.	.	nxOscSpeu1.1	X	OspJU_18159_t
4184183	4185555	1373	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11025.t1
4186458	4187863	1406	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11026.t1
6823320	6824419	1100	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11878.t1
6824561	6825788	1228	+	AUGUSTUS	mRNA	0.48	.	nxOscTipu1.1	III	Otipu_g11879.t1
6826000	6833961	7962	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11880.t1
7212915	7214474	1560	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11976.t1
7214623	7218884	4262	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	III	Otipu_g11977.t1
6792931	6794905	1975	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	I	Otipu_g1940.t1
6796145	6797904	1760	+	AUGUSTUS	mRNA	0.82	.	nxOscTipu1.1	I	Otipu_g1941.t1
6798030	6802961	4932	-	AUGUSTUS	mRNA	0.97	.	nxOscTipu1.1	I	Otipu_g1942.t1
863156	869816	6661	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g7521.t1
870131	870581	451	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g7522.t1
870680	872203	1524	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g7523.t1
873456	874806	1351	-	AUGUSTUS	mRNA	0.99	.	nxOscTipu1.1	V	Otipu_g7524.t1
8858948	8860491	1544	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g9308.t1
8861195	8861524	330	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g9309.t1
8865595	8868991	3397	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g9310.t1
8869686	8870422	737	+	AUGUSTUS	mRNA	0.68	.	nxOscTipu1.1	V	Otipu_g9311.t1
8870588	8874191	3604	+	AUGUSTUS	mRNA	0.98	.	nxOscTipu1.1	V	Otipu_g9312.t1
8875562	8877929	2368	+	AUGUSTUS	mRNA	0.57	.	nxOscTipu1.1	V	Otipu_g9313.t1
9565543	9566580	1038	-	AUGUSTUS	mRNA	0.92	.	nxOscTipu1.1	V	Otipu_g9490.t1
9567871	9569185	1315	+	AUGUSTUS	mRNA	0.83	.	nxOscTipu1.1	V	Otipu_g9491.t1
9569403	9571308	1906	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	V	Otipu_g9492.t1
264574	267296	2723	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g2621.t1
268389	272482	4094	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g2622.t1
277085	282415	5331	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g2623.t1
1001400	1007818	6419	+	AUGUSTUS	mRNA	0.45	.	nxOscTipu1.1	II	Otipu_g2793.t1
4123482	4124646	1165	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g3591.t1
4124806	4125136	331	+	AUGUSTUS	mRNA	0.71	.	nxOscTipu1.1	II	Otipu_g3592.t1
4125374	4125697	324	-	AUGUSTUS	mRNA	0.55	.	nxOscTipu1.1	II	Otipu_g3593.t1
4126053	4127144	1092	-	AUGUSTUS	mRNA	0.93	.	nxOscTipu1.1	II	Otipu_g3594.t1
4128987	4132003	3017	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g3595.t1
4132403	4133826	1424	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g3596.t1
4137379	4139107	1729	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g3597.t1
4139390	4140270	881	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g3598.t1
4142406	4144685	2280	+	AUGUSTUS	mRNA	0.83	.	nxOscTipu1.1	II	Otipu_g3599.t1
6182403	6187432	5030	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g4210.t1
6188443	6192968	4526	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g4211.t1
6194097	6197171	3075	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	II	Otipu_g4212.t1
723018	729281	6264	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	X	Otipu_g5054.t1
2775501	2777114	1614	-	AUGUSTUS	mRNA	0.62	.	nxOscTipu1.1	X	Otipu_g5433.t1
8962526	8965102	2577	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	X	Otipu_g6798.t2
11014648	11016072	1425	+	AUGUSTUS	mRNA	0.7	.	nxOscTipu1.1	X	Otipu_g7241.t1
11017112	11019415	2304	-	AUGUSTUS	mRNA	0.57	.	nxOscTipu1.1	X	Otipu_g7242.t1
2291785	2294330	2546	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	IV	Otipu_g12995.t1
2294693	2298589	3897	-	AUGUSTUS	mRNA	0.95	.	nxOscTipu1.1	IV	Otipu_g12996.t1
2298956	2305591	6636	+	AUGUSTUS	mRNA	0.65	.	nxOscTipu1.1	IV	Otipu_g12997.t1
2306435	2307522	1088	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	IV	Otipu_g12998.t1
2308023	2309515	1493	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	IV	Otipu_g12999.t1
5105849	5107288	1440	+	AUGUSTUS	mRNA	0.99	.	nxOscTipu1.1	IV	Otipu_g13984.t1
5108108	5119696	11589	-	AUGUSTUS	mRNA	0.99	.	nxOscTipu1.1	IV	Otipu_g13985.t1
8059819	8062073	2255	+	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	IV	Otipu_g14830.t1
8064763	8067138	2376	+	AUGUSTUS	mRNA	0.99	.	nxOscTipu1.1	IV	Otipu_g14831.t1
8067851	8068297	447	-	AUGUSTUS	mRNA	0.71	.	nxOscTipu1.1	IV	Otipu_g14832.t1
8070402	8070742	341	+	AUGUSTUS	mRNA	0.85	.	nxOscTipu1.1	IV	Otipu_g14833.t1
8389214	8390689	1476	-	AUGUSTUS	mRNA	0.54	.	nxOscTipu1.1	IV	Otipu_g14897.t1
8394819	8397556	2738	-	AUGUSTUS	mRNA	0.99	.	nxOscTipu1.1	IV	Otipu_g14898.t1
8400157	8402625	2469	-	AUGUSTUS	mRNA	0.39	.	nxOscTipu1.1	IV	Otipu_g14899.t1
10847861	10854149	6289	-	AUGUSTUS	mRNA	1	.	nxOscTipu1.1	IV	Otipu_g15455.t1
10855792	10857024	1233	-	AUGUSTUS	mRNA	0.92	.	nxOscTipu1.1	IV	Otipu_g15456.t1
